Team,Coach,Week,Slot,Bench,Position,Player,Franchise,Stats,Fantasy Points,Opponent,Opponent Coach,Year,Game No.,Original Order,Gamecode,Playercode,Against Playercode,Postioncode,,,Team Name,Coach,,,,Coaches,,Position,,Seasons
A great bunch of lads,Scan,1,BN1,BN,RB,D. McFadden,,0,0,Crowler's Scowlers,Dee,2017,3,85,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,BN2,BN,WR,B. Marshall,NYG,10 Rec Yds,1,Crowler's Scowlers,Dee,2017,3,86,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,BN3,BN,WR,M. Evans,TB,0,0,Crowler's Scowlers,Dee,2017,3,87,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,BN4,BN,WR,J. Landry,MIA,0,0,Crowler's Scowlers,Dee,2017,3,88,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,BN5,BN,WR,J. Crowder,WAS,"14 Rec Yds,1 Fum",-0.6,Crowler's Scowlers,Dee,2017,3,89,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
A great bunch of lads,Scan,1,BN6,BN,RB,C. McCaffrey,CAR,"47 Rush Yds,1 Fum,38 Rec Yds",6.5,Crowler's Scowlers,Dee,2017,3,90,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,QB,,QB,A. Rodgers,GB,"311 Pass Yds,1 Pass TD,1 Int,21 Rush Yds",16.54,buffalo baby-oilers,Beano,2017,4,91,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,RB1,,RB,M. Ingram,NO,"17 Rush Yds,54 Rec Yds",7.1,buffalo baby-oilers,Beano,2017,4,92,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,RB2,,RB,R. Kelley,WAS,30 Rush Yds,3,buffalo baby-oilers,Beano,2017,4,93,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,WR1,,WR,R. Cobb,GB,85 Rec Yds,8.5,buffalo baby-oilers,Beano,2017,4,94,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,WR2,,WR,O. Beckham,NYG,0,0,buffalo baby-oilers,Beano,2017,4,95,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,TE,,TE,K. Rudolph,MIN,"26 Rec Yds,1 Rec TD",8.6,buffalo baby-oilers,Beano,2017,4,96,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,W/R,,RB,M. Lynch,LV,"76 Rush Yds,16 Rec Yds",9.2,buffalo baby-oilers,Beano,2017,4,97,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,K,,K,D. Bailey,DAL,"1 PAT,1 20-29,1 30-39,2 40-49",13,buffalo baby-oilers,Beano,2017,4,98,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,DEF,,DEF,Broncos,DEF,"21 Pts,1 Sck,1 Int",3,buffalo baby-oilers,Beano,2017,4,99,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,BN1,BN,RB,D. Woodhead,BAL,"4 Rush Yds,33 Rec Yds",3.7,buffalo baby-oilers,Beano,2017,4,100,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,BN2,BN,QB,M. Stafford,DET,"292 Pass Yds,4 Pass TD,1 Int,14 Rush Yds",27.08,buffalo baby-oilers,Beano,2017,4,101,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
PackingCheeseheadsSince1921,Whytey,1,BN3,BN,WR,A. Jeffery,PHI,"38 Rec Yds,1 2PT",5.8,buffalo baby-oilers,Beano,2017,4,102,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,,,,,,,,
